City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
287,marquette,46.5333,-87.6335,70.16,76,100,7.0,US,1720634950
288,forster,-32.1667,152.5167,50.79,80,0,3.65,AU,1720634951
289,vorgashor,67.5833,63.95,67.69,60,62,4.76,RU,1720634952
290,novaya igirma,57.1334,103.9112,64.36,95,68,4.16,RU,1720634955
291,caleta de carquin,-11.0925,-77.6267,67.48,68,26,12.91,PE,1720634957
292,kilifi,-3.6305,39.8499,76.82,81,88,15.79,KE,1720634958
293,maitum,6.0392,124.4986,77.47,86,100,4.79,PH,1720634960
294,san sebastian de la gomera,28.0916,-17.1133,82.38,69,0,8.05,ES,1720634961
295,ust-nera,64.5667,143.2,61.52,51,100,2.89,RU,1720634964
296,rameswaram,9.2833,79.3,83.1,82,24,21.3,IN,1720634965
297,nagqu,31.5,92.0,44.76,88,76,7.72,CN,1720634967
298,pudur,13.0,79.15,85.62,54,99,13.94,IN,1720634889
299,sumbawa besar,-8.5,117.4333,69.22,89,100,4.56,ID,1720634970
300,kodinsk,58.6881,99.1844,60.87,90,86,2.82,RU,1720634972
301,ulricehamn,57.7916,13.4142,64.94,96,100,5.82,SE,1720634973
302,manhattan,40.7834,-73.9662,92.52,65,0,18.41,US,1720634920
303,lerwick,60.1545,-1.1494,53.6,89,100,18.05,GB,1720634976
304,lubango,-14.9172,13.4925,59.67,19,0,5.59,AO,1720634977
305,saint-philippe,-21.3585,55.7679,69.39,77,51,9.35,RE,1720634979
306,agaro,7.85,36.65,60.49,96,74,2.62,ET,1720634980
307,westport,41.1415,-73.3579,88.3,73,0,13.8,US,1720634721
308,tralee,52.2704,-9.7026,57.81,77,2,11.65,IE,1720634983
309,novoazovs'k,47.1139,38.086,83.59,44,94,12.44,UA,1720634984
310,quellon,-43.1167,-73.6167,45.79,83,100,7.81,CL,1720634986
311,aldinga beach,-35.2793,138.4604,54.64,93,100,25.08,AU,1720634987
312,gao,16.6362,1.637,102.85,23,3,8.97,ML,1720634989
313,yuli,9.6989,10.2744,83.05,62,57,6.76,NG,1720634990
314,arraial do cabo,-22.9661,-42.0278,76.86,73,0,4.61,BR,1720634992
315,davyd-haradok,52.0566,27.2161,73.08,78,0,7.81,BY,1720634993
316,hadibu,12.65,54.0333,80.19,81,100,18.54,YE,1720634995
317,yazman,29.1212,71.7446,106.54,23,12,9.75,PK,1720634996
318,san patricio,28.017,-97.5169,93.16,47,86,9.28,US,1720634998
319,san pedro pochutla,15.7333,-96.4667,86.72,63,89,6.64,MX,1720634999
320,leiyang,26.4024,112.8591,80.89,80,90,6.26,CN,1720635001
321,inirida,3.8653,-67.9239,84.9,76,94,1.97,CO,1720635002
322,callao,-12.0667,-77.15,72.43,77,53,11.03,PE,1720635003
323,hatillo,18.4863,-66.8254,82.78,72,65,13.73,PR,1720635005
324,camabatela,-8.1881,15.375,68.11,16,44,4.23,AO,1720635006
325,papao,-17.75,-149.55,80.28,77,99,1.36,PF,1720635008
326,kimbe,-5.5502,150.1429,78.31,88,97,7.18,PG,1720635009
327,paragominas,-2.9667,-47.4833,93.49,36,52,5.19,BR,1720635011
328,hobyo,5.3505,48.5268,77.43,81,91,26.17,SO,1720635012
329,fort st. john,56.2499,-120.8529,76.87,49,53,3.42,CA,1720635014
330,tondano,1.3038,124.9112,68.09,99,99,0.96,ID,1720635015
331,pajara,28.3504,-14.1076,80.11,68,0,16.84,ES,1720635017
332,obidos,-1.9175,-55.5181,93.72,40,16,7.92,BR,1720635018
333,gebeit,21.0667,36.3167,89.1,28,83,5.26,SD,1720635020
334,madagali,10.8902,13.6312,81.19,69,73,1.66,NG,1720635021
335,orsta,62.2029,6.1272,63.45,67,75,4.61,NO,1720635023
336,geraldton,-28.7667,114.6,52.21,93,40,6.91,AU,1720634906
337,tolanaro,-25.0319,46.9987,67.01,92,3,8.86,MG,1720635026
338,pangoa,-12.1167,-73.0,79.34,61,93,3.29,PE,1720635027
339,rundu,-17.9333,19.7667,60.96,10,0,5.53,NA,1720635028
340,howrah,22.5892,88.3103,86.0,84,40,11.5,IN,1720635030
341,arno,60.1167,18.6333,63.79,71,97,15.93,SE,1720635031
342,kingston,17.997,-76.7936,94.15,66,20,19.57,JM,1720634797
